Algorithm progress dump
Graph size: 12
Red requirement:3 | BLack requirement: 5


Fitness change at generation 1 from  0.00000 to  1.60000
Generation 1: Best =  19459042918805217280.00000, Fitness = 1.6
Generation time: 00:02:894Generation 2: Best =  52336945589181235200.00000, Fitness = 1.6
Generation time: 00:02:300Generation 3: Best =  4717739958815449088.00000, Fitness = 1.6
Generation time: 00:02:263Generation 4: Best =  52192830401105379328.00000, Fitness = 1.6
Generation time: 00:02:557Generation 5: Best =  52336936793088212992.00000, Fitness = 1.6
Generation time: 00:02:817
Fitness change at generation 6 from  1.60000 to  1.75000
Generation 6: Best =  52345952238709792768.00000, Fitness = 1.75
Generation time: 00:02:547Generation 7: Best =  52345952238709792768.00000, Fitness = 1.75
Generation time: 00:02:275Generation 8: Best =  52346018071968505856.00000, Fitness = 1.6
Generation time: 00:02:551Generation 9: Best =  52174816002604285952.00000, Fitness = 1.6
Generation time: 00:02:324Generation 10: Best =  47725259845933744128.00000, Fitness = 1.6
Generation time: 00:02:322Generation 11: Best =  47726385745839538176.00000, Fitness = 1.6
Generation time: 00:02:658Generation 12: Best =  47726385745839538176.00000, Fitness = 1.6
Generation time: 00:02:365Generation 13: Best =  52346018003316137984.00000, Fitness = 1.6
Generation time: 00:02:069Generation 14: Best =  47726385745839538176.00000, Fitness = 1.6
Generation time: 00:02:340Generation 15: Best =  47726667220816314368.00000, Fitness = 1.75
Generation time: 00:02:852Generation 16: Best =  47726667220816314368.00000, Fitness = 1.75
Generation time: 00:02:283Generation 17: Best =  47726667220816314368.00000, Fitness = 1.75
Generation time: 00:02:914Generation 18: Best =  47726667220816314368.00000, Fitness = 1.75
Generation time: 00:02:157Generation 19: Best =  47726667220816314368.00000, Fitness = 1.75
Generation time: 00:02:793Generation 20: Best =  47798724814854242304.00000, Fitness = 1.75
Generation time: 00:02:370Generation 21: Best =  47798724814317371392.00000, Fitness = 1.75
Generation time: 00:02:733Generation 22: Best =  47722163621189992448.00000, Fitness = 1.75
Generation time: 00:02:999Generation 23: Best =  15516922685862524928.00000, Fitness = 1.75
Generation time: 00:02:068Generation 24: Best =  52122180457129918464.00000, Fitness = 1.75
Generation time: 00:01:989Generation 25: Best =  52117676857502547968.00000, Fitness = 1.75
Generation time: 00:02:547Generation 26: Best =  52117676788783071232.00000, Fitness = 1.75
Generation time: 00:02:546Generation 27: Best =  52117676788783071232.00000, Fitness = 1.75
Generation time: 00:02:832Generation 28: Best =  52117676790930554880.00000, Fitness = 1.75
Generation time: 00:02:047Generation 29: Best =  52117676857502547968.00000, Fitness = 1.75
Generation time: 00:02:270Generation 30: Best =  52117676857502547968.00000, Fitness = 1.75
Generation time: 00:02:750Generation 31: Best =  52117676857502547968.00000, Fitness = 1.75
Generation time: 00:02:418Generation 32: Best =  52117676857468993536.00000, Fitness = 1.75
Generation time: 00:02:352Generation 33: Best =  52117676857468993536.00000, Fitness = 1.75
Generation time: 00:02:405Generation 34: Best =  42732176282034585600.00000, Fitness = 1.75
Generation time: 00:02:896Generation 35: Best =  42732176282034585600.00000, Fitness = 1.75
Generation time: 00:02:293Generation 36: Best =  52117676857502547968.00000, Fitness = 1.75
Generation time: 00:02:030Generation 37: Best =  51955548301709492224.00000, Fitness = 1.75
Generation time: 00:02:298Generation 38: Best =  42732176282034585600.00000, Fitness = 1.75
Generation time: 00:02:858Generation 39: Best =  52121617477078171648.00000, Fitness = 1.75
Generation time: 00:02:568Generation 40: Best =  52409847853230014464.00000, Fitness = 1.75
Generation time: 00:02:588Generation 41: Best =  43020406658186297344.00000, Fitness = 1.75
Generation time: 00:02:316Generation 42: Best =  42736679881661956096.00000, Fitness = 1.75
Generation time: 00:02:395Generation 43: Best =  42736679885956923392.00000, Fitness = 1.75
Generation time: 00:02:638Generation 44: Best =  52117676861797515264.00000, Fitness = 1.75
Generation time: 00:02:397Generation 45: Best =  52117676861797515264.00000, Fitness = 1.75
Generation time: 00:02:625Generation 46: Best =  52099651468172804096.00000, Fitness = 1.75
Generation time: 00:02:587Generation 47: Best =  15228120533566191616.00000, Fitness = 1.75
Generation time: 00:02:859Generation 48: Best =  15228120533566191616.00000, Fitness = 1.75
Generation time: 00:02:582Generation 49: Best =  52117815400264974336.00000, Fitness = 1.75
Generation time: 00:02:577Generation 50: Best =  52117668048526983168.00000, Fitness = 1.75
Generation time: 00:02:292Generation 51: Best =  52117665866683596800.00000, Fitness = 1.75
Generation time: 00:02:570Generation 52: Best =  52117665866683596800.00000, Fitness = 1.75
Generation time: 00:02:557Generation 53: Best =  15516346528853471232.00000, Fitness = 1.75
Generation time: 00:02:555Generation 54: Best =  52117665866647830528.00000, Fitness = 1.75
Generation time: 00:02:547Generation 55: Best =  15223612553105848320.00000, Fitness = 1.75
Generation time: 00:02:304Generation 56: Best =  15224193095247411200.00000, Fitness = 1.75
Generation time: 00:02:420Generation 57: Best =  52117102916730175488.00000, Fitness = 1.75
Generation time: 00:02:436Generation 58: Best =  15224193095247411200.00000, Fitness = 1.75
Generation time: 00:01:739Generation 59: Best =  52117102916730208256.00000, Fitness = 1.75
Generation time: 00:02:282Generation 60: Best =  52117102916730175488.00000, Fitness = 1.75
Generation time: 00:02:327Generation 61: Best =  52117102916729683968.00000, Fitness = 1.75
Generation time: 00:02:619Generation 62: Best =  52117120508916244480.00000, Fitness = 1.75
Generation time: 00:02:565Generation 63: Best =  52412087575514005504.00000, Fitness = 1.75
Generation time: 00:02:297Generation 64: Best =  52412087575514005504.00000, Fitness = 1.75
Generation time: 00:02:860Generation 65: Best =  52412087575514005504.00000, Fitness = 1.75
Generation time: 00:02:576Generation 66: Best =  52412087575514005504.00000, Fitness = 1.75
Generation time: 00:02:307Generation 67: Best =  52412087574977134592.00000, Fitness = 1.75
Generation time: 00:02:320Generation 68: Best =  15223623565404092416.00000, Fitness = 1.75
Generation time: 00:02:604Generation 69: Best =  15223623565404092416.00000, Fitness = 1.75
Generation time: 00:02:033Generation 70: Best =  52412650525433872384.00000, Fitness = 1.75
Generation time: 00:02:625Generation 71: Best =  15223623565412481024.00000, Fitness = 1.75
Generation time: 00:02:624Generation 72: Best =  52421094809136611328.00000, Fitness = 1.75
Generation time: 00:02:323Generation 73: Best =  52412650525433872384.00000, Fitness = 1.75
Generation time: 00:02:599Generation 74: Best =  15501147979505285120.00000, Fitness = 1.75
Generation time: 00:02:015Generation 75: Best =  52412650525433872384.00000, Fitness = 1.75
Generation time: 00:02:561Generation 76: Best =  52405332193260945408.00000, Fitness = 1.75
Generation time: 00:01:735Generation 77: Best =  52405332193260945408.00000, Fitness = 1.75
Generation time: 00:02:623Generation 78: Best =  52412650525475553280.00000, Fitness = 1.75
Generation time: 00:02:906Generation 79: Best =  52412650525609508864.00000, Fitness = 1.75
Generation time: 00:02:282Generation 80: Best =  52412650525609508864.00000, Fitness = 1.75
Generation time: 00:02:008Generation 81: Best =  52412650525609508864.00000, Fitness = 1.75
Generation time: 00:02:909Generation 82: Best =  43182523123673415680.00000, Fitness = 1.75
Generation time: 00:02:342Generation 83: Best =  52409835792871792640.00000, Fitness = 1.75
Generation time: 00:02:617Generation 84: Best =  52412650525592731648.00000, Fitness = 1.75
Generation time: 00:02:945Generation 85: Best =  52418842992126533632.00000, Fitness = 1.75
Generation time: 00:02:265Generation 86: Best =  52418842992142786560.00000, Fitness = 1.75
Generation time: 00:01:768Generation 87: Best =  52418842992142786560.00000, Fitness = 1.75
Generation time: 00:02:596Generation 88: Best =  52418842992142786560.00000, Fitness = 1.75
Generation time: 00:02:202Generation 89: Best =  52418842992126533632.00000, Fitness = 1.75
Generation time: 00:02:841Generation 90: Best =  52418842992126533632.00000, Fitness = 1.75
Generation time: 00:02:564Generation 91: Best =  52418842992260751360.00000, Fitness = 1.75
Generation time: 00:02:011Generation 92: Best =  52418842992126533632.00000, Fitness = 1.75
Generation time: 00:02:557Generation 93: Best =  52421094791956996096.00000, Fitness = 1.75
Generation time: 00:02:326Generation 94: Best =  52418842992143310848.00000, Fitness = 1.75
Generation time: 00:02:635Generation 95: Best =  52418807807754477568.00000, Fitness = 1.75
Generation time: 00:02:366Generation 96: Best =  52418807807754477568.00000, Fitness = 1.75
Generation time: 00:02:313Generation 97: Best =  52418842992142786560.00000, Fitness = 1.75
Generation time: 00:02:639Generation 98: Best =  52418842992142786560.00000, Fitness = 1.75
Generation time: 00:02:319Generation 99: Best =  52418842854703833088.00000, Fitness = 1.75
Generation time: 00:02:611Generation 100: Best =  52418842992142786560.00000, Fitness = 1.75
Generation time: 00:02:354Generation 101: Best =  52418913360870711296.00000, Fitness = 1.75
Generation time: 00:02:571Generation 102: Best =  52418842442386907136.00000, Fitness = 1.75
Generation time: 00:02:930Generation 103: Best =  50113070349513728000.00000, Fitness = 1.75
Generation time: 00:02:611Generation 104: Best =  52418842442386907136.00000, Fitness = 1.75
Generation time: 00:02:688Generation 105: Best =  52130612066235195392.00000, Fitness = 1.75
Generation time: 00:02:677Generation 106: Best =  50113070351623471104.00000, Fitness = 1.75
Generation time: 00:02:939Generation 107: Best =  50104063152368730112.00000, Fitness = 1.75
Generation time: 00:02:588Generation 108: Best =  50113070351623405568.00000, Fitness = 1.75
Generation time: 00:02:998Generation 109: Best =  50113070351623405568.00000, Fitness = 1.75
Generation time: 00:02:653Generation 110: Best =  50113070351623471104.00000, Fitness = 1.75
Generation time: 00:02:332Generation 111: Best =  49860868497612808192.00000, Fitness = 1.75
Generation time: 00:02:020Generation 112: Best =  50106314952199127040.00000, Fitness = 1.75
Generation time: 00:02:889Generation 113: Best =  47807231465578373120.00000, Fitness = 1.75
Generation time: 00:02:609Generation 114: Best =  49968955163547648000.00000, Fitness = 1.75
Generation time: 00:02:309Generation 115: Best =  49968884790508503040.00000, Fitness = 1.75
Generation time: 00:02:322Generation 116: Best =  49968884790508503040.00000, Fitness = 1.75
Generation time: 00:02:607Generation 117: Best =  47807161096838389760.00000, Fitness = 1.75
Generation time: 00:02:318Generation 118: Best =  49968884790508503040.00000, Fitness = 1.75
Generation time: 00:02:758Generation 119: Best =  10913743318192822272.00000, Fitness = 1.75
Generation time: 00:02:750Generation 120: Best =  49971136590322188288.00000, Fitness = 1.75
Generation time: 00:02:415Generation 121: Best =  49968849056380600320.00000, Fitness = 1.75
Generation time: 00:02:116Generation 122: Best =  50005458395539030016.00000, Fitness = 1.75
Generation time: 00:02:676Generation 123: Best =  10913460674986055680.00000, Fitness = 1.75
Generation time: 00:01:760Generation 124: Best =  54617267559268720640.00000, Fitness = 1.75
Generation time: 00:02:289Generation 125: Best =  49971101270658629632.00000, Fitness = 1.75
Generation time: 00:02:876Generation 126: Best =  49971101270658629632.00000, Fitness = 1.75
Generation time: 00:02:574Generation 127: Best =  50005458395539030016.00000, Fitness = 1.75
Generation time: 00:02:849Generation 128: Best =  54617144413966417920.00000, Fitness = 1.75
Generation time: 00:02:920Generation 129: Best =  50004904241678630912.00000, Fitness = 1.75
Generation time: 00:02:325Generation 130: Best =  54617144413966417920.00000, Fitness = 1.75
Generation time: 00:02:586Generation 131: Best =  50004904241678630912.00000, Fitness = 1.75
Generation time: 00:02:326Generation 132: Best =  50004904241678630912.00000, Fitness = 1.75
Generation time: 00:02:863Generation 133: Best =  50250324446616076288.00000, Fitness = 1.75
Generation time: 00:02:901Generation 134: Best =  49682870893567361024.00000, Fitness = 1.75
Generation time: 00:02:030Generation 135: Best =  50004902042118504448.00000, Fitness = 1.75
Generation time: 00:02:294Generation 136: Best =  50004902042118504448.00000, Fitness = 1.75
Generation time: 00:02:335Generation 137: Best =  49682870893567361024.00000, Fitness = 1.75
Generation time: 00:02:323Generation 138: Best =  50004902042118504448.00000, Fitness = 1.75
Generation time: 00:02:673Generation 139: Best =  55159248040449884160.00000, Fitness = 1.75
Generation time: 00:02:028Generation 140: Best =  50004902050708439040.00000, Fitness = 1.75
Generation time: 00:02:897Generation 141: Best =  50004902050708439040.00000, Fitness = 1.75
Generation time: 00:02:949Generation 142: Best =  54581119946266099712.00000, Fitness = 1.75
Generation time: 00:02:060Generation 143: Best =  54292889570114387968.00000, Fitness = 1.75
Generation time: 00:02:599Generation 144: Best =  50004882181661245440.00000, Fitness = 1.75
Generation time: 00:02:562Generation 145: Best =  54509062352228139008.00000, Fitness = 1.75
Generation time: 00:02:852Generation 146: Best =  54509062352228139008.00000, Fitness = 1.75
Generation time: 00:01:991Generation 147: Best =  53175433913857556480.00000, Fitness = 1.75
Generation time: 00:02:286Generation 148: Best =  53175433914931290112.00000, Fitness = 1.75
Generation time: 00:02:858Generation 149: Best =  54509062352228139008.00000, Fitness = 1.75
Generation time: 00:01:453Generation 150: Best =  54509062360818073600.00000, Fitness = 1.75
Generation time: 00:02:579Generation 151: Best =  49664856570635075584.00000, Fitness = 1.75
Generation time: 00:01:990Generation 152: Best =  49663730670728232960.00000, Fitness = 1.75
Generation time: 00:02:861Generation 153: Best =  54220831977151217664.00000, Fitness = 1.75
Generation time: 00:02:584Generation 154: Best =  49663774651193344000.00000, Fitness = 1.75
Generation time: 00:02:896Generation 155: Best =  49664012145704681472.00000, Fitness = 1.75
Generation time: 00:02:293Generation 156: Best =  49664012137115009024.00000, Fitness = 1.75
Generation time: 00:02:310Generation 157: Best =  49591717057155416064.00000, Fitness = 1.75
Generation time: 00:02:339Generation 158: Best =  49591717060376641536.00000, Fitness = 1.75
Generation time: 00:02:640Generation 159: Best =  49663774367725502464.00000, Fitness = 1.75
Generation time: 00:02:382Generation 160: Best =  49591721454128185344.00000, Fitness = 1.75
Generation time: 00:02:607Generation 161: Best =  12698233306709080064.00000, Fitness = 1.75
